electoral_district_name,candidate,party
GLENGARRY--PRESCOTT--RUSSELL,DONNELLY,
GLENGARRY--PRESCOTT--RUSSELL,GAGNIER,
GLENGARRY--PRESCOTT--RUSSELL,LEDUC,
GLENGARRY--PRESCOTT--RUSSELL,SABOURIN,
GLENGARRY--PRESCOTT--RUSSELL,ST. MARTIN,
GLENGARRY--PRESCOTT--RUSSELL,VILLENEUVE ROBERTSON,
GUELPH,BURNETT,
GUELPH,GORDON,
GUELPH,MACDONALD,
GUELPH,SANDALS,
GUELPH,SCHREINER,
GUELPH,SMYTHE,
HALDIMAND--NORFOLK,BARRETT,
HALDIMAND--NORFOLK,FAULKNER,
HALDIMAND--NORFOLK,MOTTASHED,
HALDIMAND--NORFOLK,NICHOLS,
HALDIMAND--NORFOLK,ROBINSON,
HALIBURTON--KAWARTHA LAKES--BROCK,ABEL,
HALIBURTON--KAWARTHA LAKES--BROCK,AHMAD,
HALIBURTON--KAWARTHA LAKES--BROCK,JOHNSON,
HALIBURTON--KAWARTHA LAKES--BROCK,SCOTT,
HALTON,CHUDLEIGH,
HALTON,FARRANT,
HALTON,GHORY,
HALTON,MARSH,
HALTON,NAIDOO-HARRIS,
HALTON,SPOHR,
HAMILTON CENTRE,HORWATH,
HAMILTON CENTRE,MANN,
HAMILTON CENTRE,MELANSON,
HAMILTON CENTRE,ORMOND,
HAMILTON CENTRE,TIQUI-SHEBIB,
HAMILTON CENTRE,VAIL,
HAMILTON EAST--STONEY CREEK,BROWN,
HAMILTON EAST--STONEY CREEK,BURNISON,
HAMILTON EAST--STONEY CREEK,JOHNSTON,
HAMILTON EAST--STONEY CREEK,LUKSIC,
HAMILTON EAST--STONEY CREEK,MILLER,
HAMILTON EAST--STONEY CREEK,ZINK,
HAMILTON MOUNTAIN,GOODWIN,
HAMILTON MOUNTAIN,LENKO,
HAMILTON MOUNTAIN,MARSHALL,
HAMILTON MOUNTAIN,MIRZA,
HAMILTON MOUNTAIN,TAYLOR,
HAMILTON MOUNTAIN,WIENHOLD,
HURON--BRUCE,JOHNSTONE,
HURON--BRUCE,MAISTER,
HURON--BRUCE,SCHENK,
HURON--BRUCE,THOMPSON,
HURON--BRUCE,VALENTA,
HURON--BRUCE,WERSTINE,
HURON--BRUCE,ZETTEL,
KENORA--RAINY RIVER,CAMPBELL,
KENORA--RAINY RIVER,LEEK,
KENORA--RAINY RIVER,MCKILLOP,
KENORA--RAINY RIVER,NICKLE,
KINGSTON AND THE ISLANDS,BAIN,
KINGSTON AND THE ISLANDS,HOLLAND,
KINGSTON AND THE ISLANDS,KILEY,
KINGSTON AND THE ISLANDS,KIWALA,
KINGSTON AND THE ISLANDS,REID,
KITCHENER--CONESTOGA,HARRIS,
KITCHENER--CONESTOGA,SCHUMM,
KITCHENER--CONESTOGA,VILLENEUVE,
KITCHENER--CONESTOGA,WEBER,
KITCHENER--CONESTOGA,WRIGHT,
KITCHENER--WATERLOO,BURTON,
KITCHENER--WATERLOO,DANCKERT,
KITCHENER--WATERLOO,FIFE,
KITCHENER--WATERLOO,SCHULZ,
KITCHENER--WATERLOO,WEILER,
KITCHENER CENTRE,BERNIER,
KITCHENER CENTRE,JOHNSTON,
KITCHENER CENTRE,SMITH,
KITCHENER CENTRE,VERNILE,
KITCHENER CENTRE,WETTLAUFER,
LAMBTON--KENT--MIDDLESEX,ARMSTRONG,
LAMBTON--KENT--MIDDLESEX,DURNIN,
LAMBTON--KENT--MIDDLESEX,HILL,
LAMBTON--KENT--MIDDLESEX,LEWIS,
LAMBTON--KENT--MIDDLESEX,MCNAUGHTON,
LAMBTON--KENT--MIDDLESEX,RADAN,
LAMBTON--KENT--MIDDLESEX,VANDER VLOET,
LAMBTON--KENT--MIDDLESEX,WILLSON,
LANARK--FRONTENAC--LENNOX AND ADDINGTON,HILLIER,
LANARK--FRONTENAC--LENNOX AND ADDINGTON,MACDONALD,
LANARK--FRONTENAC--LENNOX AND ADDINGTON,MATHER,
LANARK--FRONTENAC--LENNOX AND ADDINGTON,PARKHILL,
LEEDS--GRENVILLE,BOWERING,
LEEDS--GRENVILLE,CLARK,
LEEDS--GRENVILLE,GABRIEL,
LEEDS--GRENVILLE,LUNDY,
LEEDS--GRENVILLE,MILKS,
LONDON--FANSHAWE,ARMSTRONG,
LONDON--FANSHAWE,HAMADI,
LONDON--FANSHAWE,HARNICK,
LONDON--FANSHAWE,MARCELLIN,
LONDON--FANSHAWE,MCKEEVER,
LONDON--FANSHAWE,ROBSON,
LONDON--FANSHAWE,SORRELL,
LONDON NORTH CENTRE,BRANSCOMBE,
LONDON NORTH CENTRE,BRYANT,
LONDON NORTH CENTRE,LABONTE,
LONDON NORTH CENTRE,MANSUR,
LONDON NORTH CENTRE,MATTHEWS,
LONDON NORTH CENTRE,MCKEE,
LONDON NORTH CENTRE,SPOTTISWOOD,
LONDON WEST,BENNETT,
LONDON WEST,GRETZKY,
LONDON WEST,MCALISTER,
